@relation 'train_best-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute '0.08 pixel_778+0.08 pixel_576+0.079pixel_746+0.079pixel_517+0.078pixel_747...' numeric
@attribute -0.092pixel_15-0.087pixel_22-0.086pixel_11-0.085pixel_65-0.085pixel_184... numeric
@attribute -0.137pixel_802-0.136pixel_834-0.134pixel_770-0.133pixel_866-0.126pixel_898... numeric
@attribute 0.139pixel_63+0.139pixel_31+0.138pixel_30+0.136pixel_29+0.135pixel_32... numeric
@attribute -0.17pixel_740-0.166pixel_324-0.164pixel_708-0.162pixel_292-0.16pixel_227... numeric
@attribute '-0.191pixel_402-0.188pixel_626-0.18pixel_594+0.166pixel_932+0.16 pixel_997...' numeric
@attribute -0.163pixel_776-0.16pixel_808-0.149pixel_69-0.147pixel_840-0.142pixel_809... numeric
@attribute -0.152pixel_263+0.137pixel_1023+0.128pixel_990+0.127pixel_1022-0.116pixel_66... numeric
@attribute -0.138pixel_314-0.132pixel_200+0.132pixel_678+0.122pixel_773+0.122pixel_805... numeric
@attribute -0.176pixel_166-0.173pixel_198-0.156pixel_230-0.148pixel_995-0.145pixel_134... numeric
@attribute -0.145pixel_434+0.143pixel_730-0.135pixel_998-0.124pixel_323-0.123pixel_290... numeric
@attribute -0.142pixel_132-0.135pixel_100+0.134pixel_998+0.133pixel_965+0.129pixel_997... numeric
@attribute -0.144pixel_593-0.142pixel_233-0.142pixel_809-0.138pixel_433+0.135pixel_996... numeric
@attribute 0.166pixel_69-0.164pixel_625+0.142pixel_5-0.138pixel_658-0.135pixel_904... numeric
@attribute '0.23 pixel_807+0.183pixel_744-0.183pixel_574-0.176pixel_510-0.173pixel_606...' numeric
@attribute -0.234pixel_625+0.218pixel_232+0.187pixel_264+0.186pixel_200-0.185pixel_937... numeric
@attribute '-0.195pixel_391-0.168pixel_105+0.161pixel_76+0.16 pixel_43+0.154pixel_793...' numeric
@attribute 0.164pixel_233-0.159pixel_968+0.156pixel_825-0.142pixel_370+0.138pixel_791... numeric
@attribute '-0.19pixel_594+0.18 pixel_199-0.17pixel_408+0.167pixel_103+0.159pixel_538...' numeric
@attribute 0.194pixel_296+0.189pixel_434+0.163pixel_744+0.148pixel_168+0.147pixel_595... numeric
@attribute -0.249pixel_433-0.157pixel_277+0.152pixel_199+0.149pixel_171-0.148pixel_1024... numeric
@attribute 0.298pixel_807+0.203pixel_433+0.171pixel_264+0.159pixel_329+0.156pixel_265... numeric
@attribute 0.195pixel_625-0.191pixel_433+0.166pixel_402-0.165pixel_807+0.148pixel_403... numeric
@attribute -0.237pixel_1024+0.202pixel_625-0.196pixel_434+0.181pixel_403+0.163pixel_264... numeric
@attribute 0.212pixel_433-0.17pixel_905-0.165pixel_676+0.141pixel_99-0.137pixel_3... numeric
@attribute 0.209pixel_403+0.208pixel_105+0.182pixel_314+0.181pixel_6-0.168pixel_807... numeric
@attribute 0.262pixel_403+0.201pixel_744+0.172pixel_296-0.166pixel_402+0.158pixel_681... numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
{0 10.656762,1 1.385985,2 -1.533159,3 1.75523,4 -0.439302,5 0.200053,6 -0.763769,7 -0.840372,8 0.12461,9 0.587597,10 -0.148603,11 0.27844,12 -0.317147,13 -0.122748,14 -0.687902,15 -0.009235,16 -0.060201,17 -0.574009,18 -0.029432,19 -0.140874,20 -0.072884,21 0.231427,22 -0.348621,23 0.180329,24 -0.552919,25 -0.315632,26 0.164049,27 3}
{0 9.177654,1 -0.129471,2 -1.052737,3 0.975039,4 1.75444,5 0.257381,6 1.862179,7 -0.358823,8 1.196789,9 -0.571787,10 -0.100903,11 -0.029408,12 0.229861,13 0.837519,14 -0.515324,15 0.013031,16 -0.520772,17 -0.317195,18 0.419475,19 -0.041393,20 -0.344068,21 0.381286,22 -0.261181,23 0.172608,24 -0.482193,25 0.00869,26 0.264967,27 6}
{0 4.283835,1 2.884877,2 -2.188663,3 2.040675,4 0.490212,5 0.163535,6 0.531865,7 -0.297715,8 0.813778,9 -1.327521,10 0.322799,11 0.038887,12 0.247228,13 1.216559,14 -0.04245,15 -0.803658,16 -0.362816,17 -0.172794,18 0.681485,19 -0.124705,20 -0.165733,21 -0.108035,22 -0.742144,23 0.231884,24 0.287151,25 0.224712,26 -0.154067,27 6}
{0 2.620181,1 -4.816425,2 0.457096,3 4.344012,4 -0.584523,5 -0.668378,6 0.529819,7 -0.572545,8 0.394134,9 -0.780605,10 0.462015,11 0.505277,12 0.324099,13 -0.015144,14 -0.454861,15 -0.443514,16 -0.198064,17 -0.064048,18 -0.090319,19 0.00653,20 -0.420585,21 0.370243,22 -0.132115,23 -0.2478,24 -0.376399,25 0.050448,26 0.136905,27 10}
{0 9.276548,1 -4.277605,2 -1.355635,3 2.112594,4 1.406828,5 -0.368674,6 0.105327,7 -0.005798,8 -0.330342,9 0.318651,10 0.129421,11 0.355451,12 0.316099,13 0.14633,14 -0.338743,15 -0.030399,16 0.038214,17 0.185549,18 0.085649,19 0.141654,20 -0.005981,21 0.417187,22 -0.116579,23 -0.302084,24 -0.210598,25 -0.071222,26 0.183252,27 10}
{0 2.094607,1 -3.604164,2 0.003571,3 2.441417,4 -1.42659,5 -0.200997,6 0.603609,7 -0.725148,8 0.64305,9 -0.738197,10 -0.370168,11 -0.413217,12 -0.115291,13 0.349354,14 -0.606497,15 -0.31124,16 0.040496,17 -0.328603,18 0.105596,19 0.269891,20 0.101329,21 0.164853,22 0.38965,23 -0.079537,24 0.011125,25 -0.025324,26 -0.017986}
{0 10.752727,1 -2.212559,2 2.601226,3 1.82209,4 -0.736141,5 1.491717,6 1.078463,7 0.900137,8 0.30583,9 -0.284964,10 1.294535,11 0.02664,12 -0.87522,13 0.00538,14 -0.203843,15 -0.498339,16 -0.062002,17 -0.379788,18 -0.166059,19 -0.544282,20 0.186721,21 0.139545,22 -0.582073,23 0.072756,24 -0.235195,25 -0.264883,26 0.299318,27 2}
{0 7.762762,1 0.216755,2 -1.717978,3 1.005562,4 -1.712641,5 -0.249115,6 0.755838,7 0.610756,8 0.034287,9 0.221503,10 0.485608,11 -0.236815,12 0.490256,13 0.571948,14 -0.420116,15 -0.501197,16 0.129629,17 -0.294849,18 -0.319727,19 0.560494,20 -0.087562,21 0.297688,22 -0.032057,23 -0.168992,24 -0.702087,25 -0.009567,26 0.307339,27 4}
{0 7.618594,1 -0.489314,2 -0.154853,3 0.792476,4 1.555904,5 0.072714,6 1.396622,7 -0.197601,8 1.172172,9 -0.321474,10 -0.100505,11 -0.224649,12 0.156129,13 0.387002,14 -0.340685,15 -0.171212,16 -0.167792,17 -0.424033,18 0.149178,19 0.292159,20 -0.016882,21 0.186673,22 -0.0891,23 -0.048017,24 -0.368944,25 0.11631,26 0.055681,27 6}
{0 5.090518,1 -0.60353,2 -0.441028,3 0.553779,4 -0.402839,5 -1.365286,6 0.604736,7 -0.027169,8 -0.161876,9 -0.836296,10 0.081406,11 0.798794,12 -0.436595,13 -0.660393,14 -0.154639,15 -0.163577,16 -0.156108,17 -0.098333,18 -0.239031,19 0.275515,20 0.425341,21 -0.03573,22 0.212506,23 -0.218135,24 -0.491471,25 0.146787,26 -0.186104,27 9}
{0 10.533236,1 -0.925349,2 -0.501338,3 0.803899,4 -1.433918,5 -0.010808,6 0.35622,7 -0.834864,8 0.936783,9 -0.758249,10 -0.604554,11 0.45836,12 -0.099481,13 0.232654,14 -0.589061,15 0.04372,16 0.139728,17 -0.142894,18 -0.147048,19 0.033225,20 0.134242,21 0.226264,22 -0.089092,23 -0.218292,24 -0.111314,25 -0.091834,26 0.194416}
{0 0.713909,1 0.612319,2 0.078829,3 0.605087,4 -0.075301,5 0.451224,6 -0.104313,7 -0.180672,8 -0.088782,9 -0.256927,10 -0.312346,11 0.17558,12 0.293505,13 0.007775,14 -0.192965,15 -0.34863,16 0.112297,17 0.110852,18 0.126047,19 0.156573,20 0.113206,21 0.092495,22 -0.074761,23 0.126337,24 -0.031002,25 0.034723,26 -0.00426,27 2}
{0 1.467508,1 -1.834823,2 1.09256,3 1.027268,4 -0.076566,5 -0.221694,6 -0.675626,7 -0.249988,8 -0.235861,9 -1.241669,10 0.788357,11 0.364005,12 -0.546998,13 0.790559,14 -0.681,15 0.22944,16 0.774315,17 -1.038131,18 0.192416,19 0.406514,20 -0.17842,21 0.84161,22 -0.040991,23 -0.011114,24 0.018822,25 0.033154,26 -0.104857,27 5}
{0 1.028054,1 -0.061692,2 -0.598296,3 0.240888,4 -0.350883,5 0.254248,6 0.20957,7 0.235928,8 0.278184,9 -0.044158,10 -0.018872,11 0.180653,12 -0.048871,13 0.094635,14 -0.134338,15 -0.016427,16 -0.08607,17 -0.133915,18 0.142178,19 -0.155081,20 -0.054674,21 0.007928,22 -0.029811,23 -0.002665,24 0.10056,25 0.073987,26 0.07346,27 4}
{0 8.065945,1 -0.7723,2 1.187062,3 1.037043,4 1.147693,5 -0.788078,6 1.076587,7 0.187946,8 1.14447,9 -0.03061,10 -0.10517,11 -0.331337,12 0.463356,13 -0.01699,14 -0.996777,15 -0.130597,16 -0.261746,17 -0.620315,18 -0.258698,19 -0.020363,20 0.260083,21 0.671026,22 -0.369775,23 0.044533,24 -0.21907,25 -0.243783,26 -0.1864,27 6}
{0 0.596249,1 -0.07098,2 0.324646,3 0.265344,4 -0.047192,5 -0.084336,6 0.139199,7 -0.174584,8 -0.138177,9 -0.136549,10 0.185432,11 -0.059672,12 0.023061,13 0.001021,14 -0.251296,15 0.0308,16 0.277356,17 -0.096933,18 0.019492,19 0.029165,20 -0.123696,21 0.255246,22 -0.020288,23 -0.218148,24 -0.022214,25 0.094404,26 0.105649,27 5}
{0 1.022014,1 1.528697,2 0.236059,3 1.632332,4 -0.207743,5 0.192784,6 0.617446,7 0.669769,8 -0.396354,9 -0.531007,10 -0.516975,11 -0.331387,12 -0.041844,13 0.040423,14 -0.403046,15 0.315045,16 0.222926,17 -0.089423,18 0.235799,19 -0.163883,20 0.057139,21 0.184471,22 -0.109553,23 -0.389161,24 -0.357517,25 -0.190574,26 0.084389,27 4}
{0 3.041038,1 -3.461285,2 1.020205,3 1.908629,4 0.053693,5 -0.534583,6 -0.148012,7 0.585668,8 0.418371,9 -0.537925,10 0.356151,11 0.263432,12 0.662094,13 0.001393,14 -0.541196,15 -0.649123,16 0.504297,17 -0.189816,18 -0.356218,19 -0.191804,20 0.477319,21 -0.015011,22 -0.181246,23 -0.048021,24 -0.413567,25 -0.797493,26 -0.048504,27 6}
{0 1.345857,1 0.636232,2 -1.102261,3 0.509701,4 -0.304349,5 0.456524,6 -0.118942,7 0.21431,8 0.616426,9 -0.299338,10 0.204995,11 0.537686,12 0.427674,13 0.142546,14 -0.218844,15 0.029081,16 -0.157303,17 -0.084086,18 -0.106862,19 -0.029885,20 0.126207,21 0.211829,22 0.114723,23 -0.030824,24 0.200455,25 -0.030751,26 -0.007081,27 7}
{0 6.049645,1 3.917401,2 -2.219577,3 2.451466,4 -0.234545,5 0.397185,6 -0.941219,7 -0.984565,8 0.564529,9 -0.279936,10 0.785929,11 0.215732,12 0.209788,13 -0.227514,14 -0.512655,15 -1.248782,16 -0.254541,17 -0.830234,18 0.517657,19 -0.21106,20 0.246511,21 0.159814,22 0.365777,23 -0.378346,24 -0.296144,25 -0.06602,26 -0.326808,27 3}
{0 8.751051,1 -3.049466,2 -2.020078,3 0.553307,4 -1.072175,5 0.316221,6 1.271539,7 -0.885576,8 0.194454,9 -1.269199,10 -0.280448,11 0.106668,12 -0.243575,13 0.398071,14 -0.448977,15 -0.305848,16 0.419598,17 0.239124,18 0.047107,19 -0.248306,20 0.477545,21 0.374688,22 -0.055771,23 -0.367627,24 -0.195921,25 0.104951,26 -0.119879}
{0 5.601422,1 -6.976979,2 0.217655,3 4.217325,4 -0.054889,5 -0.466607,6 0.703754,7 0.319526,8 -0.513765,9 -1.110508,10 -0.328712,11 0.744241,12 0.342415,13 0.34791,14 -0.55576,15 -0.116789,16 0.068441,17 -0.159072,18 -0.34949,19 -0.504277,20 -0.123594,21 0.221468,22 0.285995,23 0.106952,24 -0.282516,25 0.03442,26 0.256206,27 10}
{0 9.580842,1 -1.058396,2 1.918341,3 1.511291,4 -0.030752,5 1.812053,6 1.113849,7 0.547661,8 0.009093,9 0.062868,10 0.734159,11 0.278438,12 -0.565974,13 0.187107,14 -0.205863,15 -0.477137,16 -0.06372,17 0.204413,18 -0.192087,19 0.126594,20 -0.12354,21 0.408274,22 -0.065663,23 -0.037277,24 -0.202619,25 -0.151284,26 -0.104669,27 2}
{0 8.65838,1 4.273453,2 -1.700686,3 2.521568,4 -0.82869,5 -0.148805,6 -0.864967,7 -0.908657,8 0.823486,9 0.469974,10 0.448692,11 0.712232,12 -0.048605,13 -0.228371,14 -0.496158,15 -0.731557,16 0.135183,17 -1.01753,18 0.481504,19 -0.444894,20 -0.167759,21 -0.117226,22 -0.042788,23 -0.142507,24 -0.403909,25 0.061565,26 -0.019407,27 3}
{0 1.526244,1 -0.293932,2 -1.661065,3 0.734376,4 -0.027512,5 0.211371,6 0.596361,7 -0.014507,8 0.730628,9 -0.245764,10 -0.146277,11 0.16313,12 -0.055571,13 0.224801,14 -0.159694,15 -0.01384,16 -0.114154,17 -0.073944,18 0.039061,19 -0.283255,20 -0.310254,21 -0.108023,22 0.291806,23 0.102972,24 0.218302,25 0.000127,26 0.120946,27 6}
{0 3.880889,1 0.82966,2 1.016913,3 -0.001939,4 0.077485,5 -0.372819,6 0.42933,7 -1.191998,8 -0.869306,9 -0.594952,10 0.537024,11 -0.017298,12 0.457678,13 0.063896,14 -1.108537,15 -0.667369,16 -0.042191,17 0.36649,18 -0.00718,19 -0.079428,20 0.03018,21 0.09414,22 -0.19892,23 -0.276071,24 -0.263321,25 -0.220935,26 0.07184,27 5}
{0 3.51792,1 3.680324,2 0.467844,3 2.656788,4 -0.703002,5 -0.809458,6 1.3679,7 0.157001,8 -0.088985,9 -0.921139,10 0.028004,11 -0.296668,12 -0.365631,13 0.328147,14 0.029437,15 0.213379,16 -0.216908,17 -0.570295,18 -0.153431,19 -0.455697,20 -0.348935,21 0.480544,22 0.020537,23 -0.240956,24 0.072915,25 -0.115463,26 -0.255159,27 7}
{0 0.246562,1 0.021242,2 -0.130105,3 0.130115,4 0.050464,5 -0.063463,6 -0.012409,7 0.069124,8 0.071949,9 -0.030607,10 -0.01535,11 0.067024,12 -0.054204,13 -0.015156,14 -0.056767,15 -0.096729,16 -0.005734,17 -0.015204,18 -0.026211,19 0.005673,20 -0.060658,21 0.069062,22 -0.019179,23 -0.00891,24 0.053372,25 0.000119,26 -0.011693,27 8}
{0 3.721552,1 -1.205626,2 0.133939,3 0.917477,4 -1.014946,5 -0.624445,6 0.346096,7 0.310133,8 -0.169792,9 -0.541374,10 -0.11335,11 -0.305065,12 0.14786,13 -0.048374,14 0.356902,15 -0.305937,16 -0.045154,17 0.007547,18 0.4563,19 -0.208458,20 -0.299826,21 -0.042099,22 -0.176228,23 0.031435,24 -0.035653,25 0.03699,26 -0.299358,27 4}
{0 2.321427,1 -3.064817,2 0.63728,3 1.813152,4 -0.717699,5 -0.466558,6 0.291002,7 0.326788,8 0.567117,9 -0.877393,10 -0.004156,11 -0.041756,12 0.448092,13 -0.266868,14 -0.323522,15 -0.58196,16 0.057395,17 -0.138389,18 0.692925,19 -0.01635,20 0.164868,21 -0.129901,22 0.189558,23 0.095251,24 0.236475,25 -0.430893,26 -0.259663,27 7}
{0 3.736927,1 -3.730057,2 0.653086,3 1.071761,4 -1.053827,5 -0.346634,6 -0.566225,7 0.986993,8 0.488647,9 -0.682083,10 -1.328207,11 -0.282339,12 -0.403377,13 0.69429,14 -1.244053,15 -0.435578,16 -1.239891,17 -0.19437,18 0.26002,19 0.344864,20 -0.330101,21 0.313013,22 0.49078,23 -0.020009,24 0.041548,25 0.05027,26 -0.157933,27 3}
{0 6.496521,1 -1.649624,2 0.156213,3 0.585066,4 -0.84451,5 -1.166879,6 0.594178,7 0.214055,8 0.17075,9 -0.744898,10 -0.224873,11 -0.251023,12 0.422294,13 -0.142442,14 0.016946,15 -0.488534,16 0.378743,17 0.141221,18 0.635461,19 0.051643,20 -0.28783,21 0.641004,22 0.093372,23 0.254943,24 -0.14536,25 -0.36324,26 -0.203208,27 7}
{0 0.955331,1 -1.306696,2 0.800487,3 0.960178,4 -0.044726,5 -0.41094,6 -0.516313,7 0.266542,8 0.012754,9 -0.695301,10 0.526027,11 0.37966,12 -0.005644,13 0.377766,14 -0.111032,15 -0.173794,16 0.39491,17 -0.776488,18 0.413213,19 0.439459,20 0.106558,21 0.261463,22 -0.012383,23 0.133849,24 0.076153,25 -0.021591,26 -0.265488,27 5}
{0 8.137906,1 0.63707,2 -1.337479,3 0.789868,4 -1.244609,5 -0.90557,6 0.904872,7 0.285404,8 0.117104,9 -0.319633,10 0.227939,11 -0.007076,12 0.761534,13 0.385385,14 -0.476938,15 0.095559,16 0.381634,17 0.150715,18 0.18369,19 -0.237348,20 -0.38624,21 1.120907,22 0.046393,23 0.326496,24 -0.706307,25 -0.282117,26 -0.100848,27 7}
{0 0.938468,1 0.050329,2 -0.82875,3 0.125511,4 0.358032,5 0.090077,6 0.323146,7 0.243447,8 0.205852,9 0.186461,10 0.114798,11 0.421435,12 -0.309865,13 0.12875,14 -0.102879,15 -0.266569,16 -0.017099,17 0.005708,18 0.179071,19 -0.325356,20 -0.127299,21 0.279403,22 0.083109,23 0.244595,24 0.028268,25 0.073819,26 0.067569,27 8}
{0 4.599886,1 -0.150076,2 0.005015,3 1.017361,4 -1.034784,5 -0.725044,6 0.484531,7 0.261137,8 -0.196821,9 -0.4566,10 0.050033,11 -0.429266,12 0.012273,13 -0.125665,14 0.433272,15 -0.27014,16 -0.050101,17 -0.113364,18 0.435998,19 -0.047044,20 -0.329722,21 0.048122,22 -0.18166,23 -0.154211,24 -0.218708,25 0.047985,26 -0.235037,27 4}
{0 0.449378,1 0.032524,2 0.131887,3 0.175143,4 -0.046522,5 0.111761,6 0.045049,7 0.034966,8 0.014976,9 -0.019107,10 0.004487,11 0.031966,12 -0.002982,13 -0.019613,14 -0.052679,15 -0.017499,16 0.01457,17 0.020144,18 0.013,19 0.007918,20 -0.01336,21 0.047976,22 -0.011657,23 0.005553,24 -0.027172,25 0.008387,26 -0.016701,27 2}
{0 1.382488,1 -2.944445,2 -0.267314,3 2.562227,4 -1.36436,5 -0.040676,6 1.013466,7 -1.280836,8 0.760516,9 -0.174485,10 0.012764,11 -0.517228,12 -0.126173,13 0.199639,14 -0.44596,15 -0.200026,16 0.316135,17 -0.090017,18 -0.161803,19 0.222861,20 -0.019575,21 0.270742,22 0.445376,23 0.142266,24 -0.144207,25 -0.074534,26 0.039906}
{0 2.353084,1 -4.143267,2 -0.892978,3 2.510637,4 -1.051446,5 -0.261338,6 1.82671,7 -0.634478,8 -0.056304,9 -0.310333,10 -0.24732,11 0.24433,12 -0.226464,13 -0.40006,14 -1.221915,15 -0.536665,16 0.493698,17 -0.667543,18 0.133008,19 0.298837,20 -0.751636,21 0.395135,22 -0.261937,23 -0.290183,24 0.492039,25 -0.629671,26 -0.049087,27 9}
{0 8.414081,1 1.680229,2 0.757789,3 1.677158,4 -0.022295,5 -1.83629,6 -0.354416,7 0.165042,8 0.446915,9 0.729315,10 -0.120869,11 0.267536,12 -0.060018,13 0.767161,14 -1.145548,15 -0.441068,16 0.93947,17 0.387628,18 -0.248862,19 -0.65896,20 -0.135819,21 0.124673,22 0.057627,23 -0.097543,24 -0.214111,25 0.048117,26 -0.238717,27 10}
{0 4.14957,1 -2.086655,2 -0.864011,3 0.99743,4 0.534623,5 -0.444591,6 0.530393,7 0.1824,8 -0.152424,9 0.198595,10 -0.240934,11 0.434303,12 0.021811,13 0.298141,14 -0.134194,15 -0.620524,16 -0.030872,17 -0.023687,18 -0.159271,19 0.366651,20 -0.238711,21 0.211102,22 -0.105889,23 -0.175226,24 0.059753,25 -0.233847,26 0.152794,27 8}
{0 1.49158,1 -0.336477,2 -1.277542,3 0.509448,4 -0.610877,5 0.473583,6 0.551325,7 0.110097,8 0.65665,9 0.119625,10 -0.161575,11 0.323213,12 -0.135681,13 0.219388,14 -0.267042,15 0.028901,16 -0.135145,17 -0.100075,18 0.225353,19 -0.138852,20 0.01313,21 0.099814,22 0.167654,23 0.098816,24 0.152031,25 0.146725,26 0.108577,27 7}
{0 4.796513,1 3.564094,2 0.241088,3 1.941994,4 -0.861401,5 -1.096423,6 1.186757,7 -0.06361,8 0.286654,9 -0.837758,10 0.348955,11 -0.241218,12 -0.228046,13 0.175417,14 0.117499,15 0.179286,16 -0.110304,17 -0.29889,18 -0.014012,19 -0.464895,20 -0.473246,21 0.563447,22 0.061129,23 -0.163952,24 0.012039,25 0.044886,26 -0.354549,27 7}
{0 7.442429,1 2.092153,2 -3.366679,3 2.327341,4 0.883657,5 0.118409,6 0.3775,7 -0.06878,8 -0.362245,9 -0.323859,10 1.367968,11 -0.326275,12 -0.07645,13 0.215801,14 -0.474346,15 -0.087604,16 0.153676,17 0.370061,18 0.65939,19 0.199633,20 0.26985,21 -0.056116,22 -0.113852,23 -0.177919,24 0.241446,25 0.091247,26 -0.17195,27 10}
{0 9.320224,1 -1.518759,2 -1.019749,3 0.704027,4 -1.167275,5 0.093071,6 0.568117,7 -0.578861,8 0.698668,9 -0.761338,10 -0.435717,11 0.332303,12 -0.147779,13 0.28792,14 -0.534802,15 -0.196287,16 0.133789,17 -0.128266,18 -0.071364,19 0.200409,20 0.155892,21 0.234657,22 -0.032396,23 -0.295149,24 -0.200865,25 -0.083614,26 0.286019}
{0 0.878038,1 1.179924,2 0.701617,3 1.040152,4 -0.11282,5 -0.361379,6 0.790021,7 0.196347,8 -0.757705,9 -0.137079,10 -0.273416,11 -0.133353,12 -0.220216,13 0.477502,14 -0.251131,15 0.041711,16 -0.095291,17 -0.334395,18 0.380512,19 -0.483268,20 0.357882,21 0.05576,22 0.108813,23 -0.440788,24 -0.275022,25 -0.267304,26 0.443299,27 5}
{0 2.655304,1 2.022809,2 -1.658713,3 1.565404,4 0.042924,5 0.547275,6 -0.597168,7 -0.357856,8 0.432307,9 -1.076585,10 0.408838,11 -0.211985,12 0.404196,13 0.013716,14 -0.258767,15 -1.155344,16 -0.520444,17 -0.363695,18 -0.022695,19 -0.167343,20 0.222471,21 0.463041,22 0.346795,23 0.083169,24 0.187067,25 -0.170621,26 -0.186595,27 3}
{0 7.21128,1 -1.89939,2 -3.414061,3 1.752948,4 1.065179,5 0.386449,6 0.801293,7 -0.40052,8 -1.026861,9 -0.08661,10 0.97412,11 -0.010141,12 0.444762,13 0.198457,14 -0.042182,15 0.254281,16 0.086534,17 -0.087656,18 0.051295,19 0.020817,20 0.072694,21 0.349475,22 0.034187,23 0.196119,24 0.111785,25 -0.085944,26 -0.194891,27 10}
{0 2.083233,1 2.519745,2 1.317559,3 1.772647,4 -0.42368,5 -1.063817,6 1.480344,7 -0.329359,8 -1.262841,9 0.015898,10 -0.332362,11 0.316006,12 -0.274462,13 1.276729,14 -0.078351,15 -0.276313,16 -0.538577,17 -0.866284,18 0.369778,19 -0.61245,20 0.697029,21 0.226973,22 0.139208,23 -0.11998,24 -0.207545,25 -0.550232,26 0.31814,27 5}
{0 6.105714,1 -1.609504,2 -2.334182,3 1.113729,4 0.555648,5 -0.446773,6 0.849056,7 0.236309,8 -0.069793,9 0.209802,10 -0.304327,11 0.612597,12 -0.567132,13 0.388856,14 0.043416,15 -1.092101,16 0.124387,17 -0.084118,18 -0.118526,19 0.348938,20 0.007855,21 0.921046,22 -0.283732,23 -0.366988,24 -0.039843,25 -0.549056,26 0.265474,27 8}
{0 4.185554,1 3.647172,2 0.384157,3 2.247187,4 -1.228697,5 0.25989,6 0.407311,7 -0.787747,8 0.486512,9 -0.567032,10 -0.622633,11 0.881162,12 0.546356,13 0.434232,14 -0.000624,15 0.020759,16 0.103058,17 -0.492374,18 -0.451679,19 0.1415,20 -0.517266,21 -0.123027,22 -0.518874,23 0.132472,24 -0.059217,25 -0.094479,26 -0.380946}
{0 2.202514,1 2.176906,2 1.067406,3 1.446167,4 -0.262306,5 -0.683548,6 0.79753,7 -0.713394,8 -1.145277,9 -0.143768,10 -0.136189,11 0.161457,12 0.194643,13 0.736264,14 -0.6329,15 -0.763499,16 -0.273937,17 -0.285541,18 0.533061,19 -0.399777,20 0.518758,21 0.192699,22 0.131308,23 -0.186834,24 -0.084558,25 -0.299468,26 0.289802,27 5}
{0 4.258721,1 2.804747,2 0.616102,3 1.581197,4 -0.679091,5 -1.283435,6 1.126153,7 -0.056691,8 0.096619,9 -0.576477,10 0.010614,11 -0.395665,12 -0.417531,13 -0.079033,14 0.33954,15 0.012629,16 -0.094325,17 -0.38906,18 0.190789,19 -0.38495,20 -0.592161,21 0.447132,22 -0.067497,23 -0.096226,24 0.173612,25 0.204521,26 -0.511676,27 7}
{0 1.328605,1 -1.334597,2 0.88602,3 0.545439,4 -0.000799,5 -0.017444,6 -0.348142,7 -0.324626,8 -0.300539,9 -1.073617,10 0.652569,11 0.242289,12 -0.425323,13 0.450711,14 -0.574611,15 0.204325,16 0.656618,17 -0.645214,18 -0.028672,19 0.165602,20 -0.047634,21 0.523079,22 0.01033,23 -0.041739,24 -0.185289,25 -0.061603,26 -0.091745,27 5}
{0 8.463254,1 3.42323,2 -1.082844,3 1.394739,4 -1.483094,5 0.014569,6 -0.015919,7 -1.001439,8 1.472949,9 -0.779206,10 -0.061473,11 1.272573,12 0.369416,13 0.584501,14 -0.131371,15 -0.004033,16 0.161108,17 -0.161288,18 -0.096295,19 -0.184511,20 -0.36735,21 -0.062935,22 -0.569625,23 0.155976,24 0.018527,25 -0.077406,26 0.061964}
{0 9.548826,1 0.197408,2 1.941029,3 1.642947,4 0.358305,5 1.930452,6 1.372799,7 0.242534,8 0.165806,9 0.091325,10 0.361433,11 0.570256,12 -0.253244,13 0.409431,14 -0.408948,15 -0.542132,16 -0.038928,17 0.216041,18 -0.136345,19 0.266221,20 -0.251941,21 0.515658,22 0.17429,23 -0.063554,24 -0.232036,25 -0.184872,26 -0.1177,27 2}
{0 10.88507,1 0.576184,2 -0.967215,3 1.566025,4 -0.660762,5 -0.009726,6 -0.736511,7 -0.627733,8 0.22692,9 0.532407,10 -0.575549,11 0.222636,12 -0.452406,13 0.072362,14 -0.818917,15 0.128352,16 -0.242916,17 -0.566118,18 -0.130853,19 -0.035092,20 -0.169129,21 0.180448,22 -0.295666,23 0.319578,24 -0.462554,25 -0.268315,26 0.185151,27 3}
{0 6.187971,1 1.454979,2 2.045421,3 0.017602,4 -0.00248,5 -0.739648,6 0.953547,7 -1.68199,8 -0.775722,9 -0.746074,10 0.526763,11 -0.151503,12 0.692157,13 0.119425,14 -0.948701,15 -0.805209,16 -0.248111,17 0.15061,18 -0.105401,19 -0.313469,20 -0.208114,21 0.167042,22 -0.224638,23 -0.298809,24 -0.157594,25 -0.011175,26 0.119957,27 5}
{0 0.776377,1 0.411375,2 -0.408316,3 0.399299,4 -0.226619,5 0.286887,6 0.009378,7 0.142449,8 0.227048,9 -0.160768,10 0.081704,11 0.171171,12 0.182746,13 0.071793,14 -0.044616,15 0.043183,16 -0.097566,17 -0.104026,18 -0.017183,19 -0.036391,20 0.003928,21 0.122024,22 0.026262,23 -0.018671,24 0.053838,25 -0.039679,26 -0.005477,27 4}
